individual,biomass_aboveground_g,biomass_belowground_g,date_oven,use_yn
1,0.0838,6.0507,9/25/2025,y
2,0.042,1.2949,9/25/2025,y
3,0.0344,3.4748,9/25/2025,y
4,0.0845,3.45,10/24/2025,y
5,0.0835,5.9836,9/26/2025,y
6,0.0655,1.8189,9/25/2025,y
7,0.0624,2.5173,9/26/2025,y
8,0.0557,3.97,10/26/2025,y
9,0.0751,4.5815,9/25/2025,y
10,0.0284,2.3818,9/25/2025,y
11,0.0247,9.41,10/24/2025,y
12,0.225,10.43,10/26/2025,y
13,0.0753,6.6366,9/25/2025,y
14,0.0544,3.983,9/25/2025,y
15,0.0913,4.2481,9/25/2025,y
16,0.0995,5.2859,9/26/2025,y
17,0.0638,6.1093,9/25/2025,y
18,0.0212,1.31,10/23/2025,y
19,0.1095,11.66,10/24/2025,y
20,0.0682,6.1055,9/25/2025,y
21,0.1152,6.944,9/25/2025,y
22,0.0619,5.7,10/24/2025,y
23,0.108,3.4895,9/25/2025,y
24,0.0697,,9/25/2025,y
25,0.1414,11.14,9/25/2025,y
26,0.0336,2.2529,10/24/2025,y
27,0.0523,7.9113,9/25/2025,y
28,0.0613,2.55,10/27/2025,y
29,0.0297,8.9518,9/25/2025,y
30,0.0567,3.4083,9/25/2025,y
31,0.1,3.1719,9/25/2025,y
32,0.0572,4.3662,9/25/2025,y
33,0.0242,0.45,10/27/2025,y
34,0.0159,0.2462,9/25/2025,y
35,0.0271,2.214,9/26/2025,y
36,0.0517,0.1651,9/25/2025,y
37,0.0621,1.4423,9/26/2025,y
38,0.0386,,9/26/2025,y
39,0.0122,0.0383,9/25/2025,y
40,0.0249,0.2375,9/25/2025,y
41,0.0548,0.2181,9/26/2025,y
42,0.0134,0.0264,9/25/2025,y
43,0.0622,2.5953,9/25/2025,y
44,0.0334,0.2254,9/25/2025,y
45,0.0604,1.52,10/24/2025,y
46,0.036,0.9359,9/25/2025,y
47,0.0415,0.433,9/29/2025,y
48,0.04,0.3594,9/26/2025,y
49,0.0216,0.1864,9/24/2025,y
50,0.0195,0.3363,9/25/2025,y
51,0.0297,2.53,10/27/2025,y
52,0.0343,0.0839,9/25/2025,y
53,0.1121,1.5102,12/25/2025,y
