#,Date-Time (CDT/CST),Temperature   (°C),Light   (lux),Host Connected,End of File
1,08/06/2025 13:07:48,38.44,949.12,,
2,08/06/2025 13:12:48,37.75,20766.72,,
3,08/06/2025 13:17:48,43.07,74977.28,,
4,08/06/2025 13:22:48,48.65,74240.00,,
5,08/06/2025 13:27:48,51.35,73768.96,,
6,08/06/2025 13:32:48,51.99,68587.52,,
7,08/06/2025 13:37:48,47.32,22190.08,,
8,08/06/2025 13:42:48,49.50,78458.88,,
9,08/06/2025 13:47:48,52.68,74772.48,,
10,08/06/2025 13:52:48,54.44,77271.04,,
11,08/06/2025 13:57:48,55.60,76759.04,,
12,08/06/2025 14:02:48,56.37,76206.08,,
13,08/06/2025 14:07:48,56.71,73605.12,,
14,08/06/2025 14:12:48,56.88,72601.60,,
15,08/06/2025 14:17:48,57.57,78848.00,,
16,08/06/2025 14:22:48,57.74,77332.48,,
17,08/06/2025 14:27:48,58.51,74137.60,,
18,08/06/2025 14:32:48,54.61,17648.64,,
19,08/06/2025 14:37:48,52.34,73584.64,,
20,08/06/2025 14:42:48,55.12,73809.92,,
21,08/06/2025 14:47:48,56.93,72253.44,,
22,08/06/2025 14:52:48,58.08,68608.00,,
23,08/06/2025 14:57:48,58.64,73154.56,,
24,08/06/2025 15:02:48,58.47,68505.60,,
25,08/06/2025 15:07:48,58.94,76369.92,,
26,08/06/2025 15:12:48,58.60,72376.32,,
27,08/06/2025 15:17:48,58.60,71987.20,,
28,08/06/2025 15:22:48,57.40,51630.08,,
29,08/06/2025 15:27:48,49.89,13342.72,,
30,08/06/2025 15:32:48,44.96,12456.96,,
31,08/06/2025 15:37:48,42.38,12103.68,,
32,08/06/2025 15:42:48,40.92,11929.60,,
33,08/06/2025 15:47:48,40.19,11842.56,,
34,08/06/2025 15:52:48,40.19,11765.76,,
35,08/06/2025 15:57:48,40.45,11745.28,,
36,08/06/2025 16:02:48,40.75,11996.16,,
37,08/06/2025 16:07:48,41.40,12267.52,,
38,08/06/2025 16:12:48,41.48,12533.76,,
39,08/06/2025 16:17:48,43.33,37560.32,,
40,08/06/2025 16:22:48,46.20,29511.68,,
41,08/06/2025 16:27:48,46.42,15631.36,,
42,08/06/2025 16:32:48,45.47,14254.08,,
43,08/06/2025 16:37:48,44.40,14228.48,,
44,08/06/2025 16:42:48,44.23,15385.60,,
45,08/06/2025 16:47:48,44.18,22784.00,,
46,08/06/2025 16:52:48,48.73,54251.52,,
47,08/06/2025 16:57:48,51.43,57548.80,,
48,08/06/2025 17:02:48,48.39,16005.12,,
49,08/06/2025 17:07:48,47.32,40079.36,,
50,08/06/2025 17:12:48,45.34,16378.88,,
51,08/06/2025 17:17:48,45.51,43499.52,,
52,08/06/2025 17:22:48,46.50,35737.60,,
53,08/06/2025 17:27:48,47.14,39557.12,,
54,08/06/2025 17:32:48,43.24,13424.64,,
55,08/06/2025 17:37:48,40.92,15395.84,,
56,08/06/2025 17:42:48,44.53,40284.16,,
57,08/06/2025 17:47:48,46.16,39034.88,,
58,08/06/2025 17:52:48,44.74,17684.48,,
59,08/06/2025 17:57:48,43.71,29747.20,,
60,08/06/2025 18:02:48,43.84,40284.16,,
61,08/06/2025 18:07:48,39.29,11146.24,,
62,08/06/2025 18:12:48,36.25,9313.28,,
63,08/06/2025 18:17:48,34.83,8197.12,,
64,08/06/2025 18:22:48,33.59,7797.76,,
65,08/06/2025 18:27:48,32.82,7452.16,,
66,08/06/2025 18:32:48,32.26,7034.88,,
67,08/06/2025 18:37:48,33.12,25262.08,,
68,08/06/2025 18:42:48,33.25,6318.08,,
69,08/06/2025 18:47:48,31.57,5800.96,,
70,08/06/2025 18:52:48,30.93,5381.12,,
71,08/06/2025 18:57:48,30.07,4862.72,,
72,08/06/2025 19:02:48,29.38,4579.84,,
73,08/06/2025 19:07:48,28.83,4225.28,,
74,08/06/2025 19:12:48,28.74,3939.84,,
75,08/06/2025 19:17:48,28.31,3852.80,,
76,08/06/2025 19:22:48,28.14,3521.28,,
77,08/06/2025 19:27:48,27.84,3240.96,,
78,08/06/2025 19:32:48,27.63,2965.76,,
79,08/06/2025 19:37:48,27.37,2698.24,,
80,08/06/2025 19:42:48,27.11,2469.76,,
81,08/06/2025 19:47:48,27.02,2378.24,,
82,08/06/2025 19:52:48,26.85,2255.36,,
83,08/06/2025 19:57:48,26.81,1826.56,,
