,block,shade,individual,species,note
1,1,00s,5,dicl,
2,1,00s,8,diol,
3,2,00s,65,pavi,
4,2,00s,67,paan,
5,2,00s,68,paco,
6,2,00s,70,patr,
7,2,00s,71,diac,
8,2,00s,73,pavi,
9,2,00s,78,patr,
10,2,00s,79,diac,
11,2,00s,84,paco,
12,2,00s,85,dicl,
13,2,00s,87,diac,
14,2,00s,91,paan,
15,2,00s,92,paco,
16,3,00s,148,paco,
17,3,00s,149,dicl,
18,3,00s,151,diac,
19,4,00s,196,paco,
20,4,00s,213,dicl,
21,5,00s,259,paan,
22,5,00s,265,pavi,
23,5,00s,278,patr,
24,5,00s,282,paha,
25,6,00s,328,diol,
26,6,00s,331,paan,
27,1,70s,42,paha,
28,1,70s,55,diac,
29,1,70s,63,diac,
30,2,70s,98,paha,
31,2,70s,99,paan,
32,2,70s,101,dicl,
33,2,70s,104,diol,
34,2,70s,110,patr,
35,2,70s,117,dicl,
36,2,70s,119,diac,
37,2,70s,123,paan,
38,2,70s,125,dicl,
39,3,70s,183,diac,
40,4,70s,233,pavi,
41,4,70s,242,paha,
42,5,70s,296,diol,
43,5,70s,297,pavi,
44,5,70s,319,diac,
45,6,70s,373,dicl,
46,6,70s,375,diac,
47,6,70s,382,patr,
